D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_26_667.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_26_667.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_26_667.jpg, 0, 0, 0, 7.830453E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_26_773.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_26_773.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_26_773.jpg, 0, 0, 0, 8.126494E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_26_879.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_26_879.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_26_879.jpg, 0, 0, 0, 7.785961E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_26_984.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_26_984.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_26_984.jpg, 0, 0, 0, 7.90215E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_087.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_087.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_087.jpg, 0, 0, 0, 7.853413E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_193.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_193.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_193.jpg, 0, 0, 0, 7.819554E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_301.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_301.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_301.jpg, 0, 0, 0, 7.85657E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_406.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_406.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_406.jpg, 0, 0, 0, 7.825241E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_515.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_515.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_515.jpg, 0, 0, 0, 7.822567E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_620.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_620.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_620.jpg, 0, 0, 0, 7.813443E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_729.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_729.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_729.jpg, 0, 0, 0, 7.835253E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_833.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_833.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_833.jpg, 0, 0, 0, 7.810771E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_27_935.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_27_935.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_27_935.jpg, 0, 0, 0, 7.815589E-05
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_28_037.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_28_037.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_28_037.jpg, 0, 0.2772111, 0, 0.260395
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_28_146.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_28_146.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_28_146.jpg, 0, 0.6249144, 0, 0.9457626
D:\Self Drving Car\DataTrain\IMG\center_2019_04_07_18_39_28_250.jpg, D:\Self Drving Car\DataTrain\IMG\left_2019_04_07_18_39_28_250.jpg, D:\Self Drving Car\DataTrain\IMG\right_2019_04_07_18_39_28_250.jpg, 0, 0.916811, 0, 2.001273
